"UID","ID_Base","Categoría","Modelo Principal","Modelo","Submodelo","ctx_precio","precio_num","precio_lista_num","bono_num","Precio_Texto","fuente_texto_raw","Modelo_URL","Archivo_Origen","Fecha","Timestamp","estado","Tipo_Vehiculo"
"5624FF61D760","maxus|t90-ev|t90-ev","MAXUS","T90 Ev","T90 EV","T90 EV","","35950","37950","2000","","","","Evolutivo_de_Precios_Chile2026.xlsx","2025-11-01","","vigente","Eléctrico"
"1E540D9672F4","maxus|t90-ev|t90-ev","MAXUS","T90 Ev","T90 EV","T90 EV","","37950","37950","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2025-12-01","","vigente","Eléctrico"
"53CFB6BEC226","maxus|t90-ev|t90-ev","MAXUS","T90 Ev","T90 EV","T90 EV","","37950","37950","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2026-01-01","","vigente","Eléctrico"
"EF67A403D8DF","maxus|t90-ev|t90-ev","MAXUS","T90 Ev","T90 EV","T90 EV","","27990000","27990000","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2026-02-01","","vigente","Eléctrico"
"AFD61D2E429D","maxus|edeliver-3|edeliver-3-cargo-van-l2h2","MAXUS","Edeliver 3","eDeliver 3 CARGO VAN L2H2","eDeliver 3 CARGO VAN L2H2","","25500","25500","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2026-01-01","","vigente","Eléctrico"
"B7CCCE0202B9","maxus|edeliver-3|edeliver-3-cargo-van-l2h2","MAXUS","Edeliver 3","eDeliver 3 CARGO VAN L2H2","eDeliver 3 CARGO VAN L2H2","","34990000","34990000","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2026-02-01","","vigente","Eléctrico"
"AC6530E65DDD","maxus|edeliver-3|edeliver-3-cargo-van-l3h2","MAXUS","Edeliver 3","eDeliver 3 CARGO VAN L3H2","eDeliver 3 CARGO VAN L3H2","","39590000","39590000","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2026-02-01","","vigente","Eléctrico"
"C0FA39947790","mercedes-benz|sprinter|sprinter-cargo","MERCEDES BENZ","Sprinter","SPRINTER CARGO","SPRINTER CARGO","","49990000","49990000","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2025-04-01","","vigente","Van/Furgón"
"1E3DC5D620F0","mercedes-benz|sprinter|sprinter-cargo","MERCEDES BENZ","Sprinter","SPRINTER CARGO","SPRINTER CARGO","","49990000","49990000","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2025-05-01","","vigente","Van/Furgón"
"9FE7FCCE3B59","mercedes-benz|sprinter|sprinter-cargo","MERCEDES BENZ","Sprinter","SPRINTER CARGO","SPRINTER CARGO","","49990000","49990000","0","","","","Evolutivo_de_Precios_Chile2026.xlsx","2025-06-01","","vigente","Van/Furgón"
